timestamp_iso,timestamp_unix,poorSignalLevel,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma
2026-07-03T12:51:38.429Z,1783083098.429112,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:51:39.708Z,1783083099.708042,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:51:40.960Z,1783083100.960422,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:51:42.250Z,1783083102.250151,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:51:43.587Z,1783083103.587630,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:51:44.814Z,1783083104.814278,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:51:46.037Z,1783083106.037099,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:51:47.257Z,1783083107.257906,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:51:48.476Z,1783083108.476749,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:51:49.741Z,1783083109.741101,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:51:51.087Z,1783083111.087398,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:51:52.335Z,1783083112.335159,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:51:53.617Z,1783083113.617677,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:51:54.954Z,1783083114.954045,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:51:56.281Z,1783083116.281324,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:51:57.575Z,1783083117.575748,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:51:58.888Z,1783083118.888911,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:52:00.180Z,1783083120.180632,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:52:01.447Z,1783083121.447015,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:52:02.725Z,1783083122.725979,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:52:03.998Z,1783083123.998978,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:52:05.263Z,1783083125.263856,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:52:06.653Z,1783083126.653908,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:52:07.956Z,1783083127.956588,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:52:09.257Z,1783083129.257124,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:52:10.546Z,1783083130.546351,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:52:11.814Z,1783083131.814746,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:52:13.076Z,1783083133.076825,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:52:14.313Z,1783083134.313507,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:52:15.574Z,1783083135.574800,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:52:16.802Z,1783083136.802104,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:52:17.981Z,1783083137.981938,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:52:19.237Z,1783083139.237508,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:52:20.453Z,1783083140.453624,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:52:21.716Z,1783083141.716010,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:52:22.977Z,1783083142.977626,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:52:24.210Z,1783083144.210197,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:52:25.463Z,1783083145.463991,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:52:26.735Z,1783083146.735179,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:52:28.013Z,1783083148.013855,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:52:29.264Z,1783083149.264267,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:52:30.575Z,1783083150.575319,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:52:31.888Z,1783083151.888026,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:52:33.134Z,1783083153.134131,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:52:34.386Z,1783083154.386469,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:52:35.629Z,1783083155.629470,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:52:36.880Z,1783083156.880951,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:52:38.075Z,1783083158.075461,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:52:39.308Z,1783083159.308175,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:52:40.567Z,1783083160.567634,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:52:41.821Z,1783083161.821994,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:52:43.054Z,1783083163.054991,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:52:44.262Z,1783083164.262505,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:52:45.469Z,1783083165.469704,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:52:46.690Z,1783083166.690319,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:52:47.942Z,1783083167.942751,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:52:49.392Z,1783083169.392383,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:52:50.596Z,1783083170.596672,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:52:51.848Z,1783083171.848302,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:52:53.065Z,1783083173.065377,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:52:54.482Z,1783083174.482455,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:52:55.681Z,1783083175.681804,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:52:56.875Z,1783083176.875821,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:52:58.076Z,1783083178.076758,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:52:59.291Z,1783083179.291270,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:53:00.597Z,1783083180.597926,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:53:01.866Z,1783083181.866223,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:53:03.115Z,1783083183.115368,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:53:04.337Z,1783083184.337104,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:53:05.594Z,1783083185.594061,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:53:06.842Z,1783083186.842764,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:53:08.114Z,1783083188.114239,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:53:09.347Z,1783083189.347665,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:53:10.543Z,1783083190.543718,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:53:11.738Z,1783083191.738332,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:53:13.151Z,1783083193.151047,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:53:14.339Z,1783083194.339693,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:53:15.572Z,1783083195.572392,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:53:16.764Z,1783083196.764889,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:53:17.963Z,1783083197.963527,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:53:19.315Z,1783083199.315893,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:53:20.505Z,1783083200.505410,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:53:21.721Z,1783083201.721125,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:53:22.933Z,1783083202.933403,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:53:24.203Z,1783083204.203191,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:53:25.473Z,1783083205.473479,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:53:26.880Z,1783083206.880643,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:53:28.099Z,1783083208.099893,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:53:29.302Z,1783083209.302646,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:53:30.560Z,1783083210.560103,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:53:31.795Z,1783083211.795292,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:53:33.042Z,1783083213.042857,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:53:34.251Z,1783083214.251401,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:53:35.452Z,1783083215.452489,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:53:36.713Z,1783083216.713145,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:53:37.980Z,1783083217.980216,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:53:39.218Z,1783083219.218354,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:53:40.471Z,1783083220.471961,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:53:41.698Z,1783083221.698921,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:53:42.960Z,1783083222.960762,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:53:44.242Z,1783083224.242581,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:53:45.614Z,1783083225.614943,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:53:46.809Z,1783083226.809956,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:53:48.019Z,1783083228.019522,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:53:49.272Z,1783083229.272941,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:53:50.539Z,1783083230.539784,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:53:51.766Z,1783083231.766484,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:53:52.969Z,1783083232.969110,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:53:54.203Z,1783083234.203109,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:53:55.387Z,1783083235.387261,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:53:56.570Z,1783083236.570111,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:53:57.990Z,1783083237.990556,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:53:59.223Z,1783083239.223977,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:54:00.617Z,1783083240.617265,0,245000,42000,12000,15000,8000,9500,3100,1800
2026-07-03T12:54:01.830Z,1783083241.830658,0,245000,42000,12000,15000,8000,9500,3100,1800
